frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,128,240,0,0,2.07437,0.053696,0.052224,0.017408,2.07437,1.6,1.6,30720
1,128,240,0,0,0.469472,0.485824,0.009216,0.01536,0.485824,1.6,1.6,30720
2,128,240,0,0,0.153984,0.170464,0.009216,0.016384,0.170464,1.6,1.6,30720
3,128,240,0,0,0.156992,0.16864,0.007168,0.016384,0.16864,1.6,1.6,30720
4,128,240,0,0,0.14176,0.129056,0.009216,0.016384,0.14176,1.6,1.6,30720
5,128,240,0,0,0.159872,0.177312,0.007168,0.016384,0.177312,1.6,1.6,30720
6,128,240,0,0,0.15888,0.174368,0.007168,0.016384,0.174368,1.6,1.6,30720
7,128,240,0,0,0.16128,0.176768,0.007168,0.017408,0.176768,1.6,1.6,30720
8,128,240,0,0,0.131456,0.136928,0.008192,0.017408,0.136928,1.6,1.6,30720
9,128,240,0,0,0.130752,0.135552,0.009216,0.016384,0.135552,1.6,1.6,30720
10,128,240,0,0,0.128864,0.14352,0.007168,0.014336,0.14352,1.6,1.6,30720
11,128,240,0,0,0.341056,0.349088,0.007168,0.014336,0.349088,1.6,1.6,30720
12,128,240,0,0,0.119392,0.124736,0.007168,0.01536,0.124736,1.6,1.6,30720
13,128,240,0,0,0.249728,0.264384,0.007168,0.0768,0.264384,1.6,1.6,30720
14,128,240,0,0,0.136352,0.149504,0.007168,0.01536,0.149504,1.6,1.6,30720
15,128,240,0,0,0.121408,0.132448,0.007168,0.014368,0.132448,1.6,1.6,30720
16,128,240,0,0,0.1296,0.087872,0.008192,0.01536,0.1296,1.6,1.6,30720
17,128,240,0,0,0.1264,0.091104,0.008192,0.01536,0.1264,1.6,1.6,30720
18,128,240,0,0,0.109568,0.114176,0.008192,0.01536,0.114176,1.6,1.6,30720
19,128,240,0,0,0.102208,0.113952,0.007168,0.01536,0.113952,1.6,1.6,30720
20,128,240,0,0,0.106624,0.114624,0.007168,0.01536,0.114624,1.6,1.6,30720
21,128,240,0,0,0.116512,0.113632,0.008192,0.014336,0.116512,1.6,1.6,30720
22,128,240,0,0,0.115424,0.102656,0.008192,0.01536,0.115424,1.6,1.6,30720
23,128,240,0,0,0.146656,0.1024,0.008192,0.095232,0.146656,1.6,1.6,30720
24,128,240,0,0,0.106432,0.115872,0.008192,0.01536,0.115872,1.6,1.6,30720
25,128,240,0,0,0.116192,0.122624,0.007168,0.01536,0.122624,1.6,1.6,30720
26,128,240,0,0,0.123392,0.139072,0.007168,0.01536,0.139072,1.6,1.6,30720
27,128,240,0,0,0.154624,0.167584,0.008192,0.01536,0.167584,1.6,1.6,30720
28,128,240,0,0,0.12272,0.101216,0.008192,0.036864,0.12272,1.6,1.6,30720
29,128,240,0,0,0.13616,0.175072,0.009216,0.01536,0.175072,1.6,1.6,30720
30,128,240,0,0,0.155232,0.162624,0.01024,0.016384,0.162624,1.6,1.6,30720
31,128,240,0,0,0.226272,0.270336,0.01024,0.017408,0.270336,1.6,1.6,30720
32,128,240,0,0,0.160768,0.197504,0.009216,0.018432,0.197504,1.6,1.6,30720
33,128,240,0,0,0.184096,0.189568,0.01024,0.017408,0.189568,1.6,1.6,30720
34,128,240,0,0,0.199008,0.1904,0.01024,0.017408,0.199008,1.6,1.6,30720
35,128,240,0,0,0.17264,0.196128,0.011264,0.017408,0.196128,1.6,1.6,30720
36,128,240,0,0,0.174144,0.206176,0.01024,0.017408,0.206176,1.6,1.6,30720
37,128,240,0,0,0.169728,0.205216,0.011264,0.017408,0.205216,1.6,1.6,30720
38,128,240,0,0,0.178784,0.214912,0.01024,0.018432,0.214912,1.6,1.6,30720
39,128,240,0,0,0.217888,0.185696,0.01024,0.018432,0.217888,1.6,1.6,30720
40,128,240,0,0,0.159808,0.197856,0.01024,0.018432,0.197856,1.6,1.6,30720
41,128,240,0,0,0.168928,0.171776,0.011264,0.017408,0.171776,1.6,1.6,30720
42,128,240,0,0,0.170688,0.215808,0.01024,0.017408,0.215808,1.6,1.6,30720
43,128,240,0,0,0.198784,0.237216,0.009216,0.016384,0.237216,1.6,1.6,30720
44,128,240,0,0,0.166912,0.20448,0.011264,0.018432,0.20448,1.6,1.6,30720
45,128,240,0,0,0.177024,0.197152,0.011264,0.017408,0.197152,1.6,1.6,30720
46,128,240,0,0,0.163104,0.198144,0.01024,0.017408,0.198144,1.6,1.6,30720
47,128,240,0,0,0.159904,0.198016,0.009216,0.017408,0.198016,1.6,1.6,30720
48,128,240,0,0,0.18832,0.23136,0.01024,0.019456,0.23136,1.6,1.6,30720
49,128,240,0,0,0.175008,0.212032,0.011264,0.017408,0.212032,1.6,1.6,30720
50,128,240,0,0,0.155296,0.186176,0.011264,0.017408,0.186176,1.6,1.6,30720
51,128,240,0,0,0.18528,0.230432,0.011264,0.017408,0.230432,1.6,1.6,30720
52,128,240,0,0,0.201024,0.18432,0.011264,0.017408,0.201024,1.6,1.6,30720
53,128,240,0,0,0.161024,0.199072,0.012288,0.017408,0.199072,1.6,1.6,30720
54,128,240,0,0,0.12416,0.09888,0.009216,0.016384,0.12416,1.6,1.6,30720
55,128,240,0,0,0.093184,0.139648,0.009216,0.01536,0.139648,1.6,1.6,30720
56,128,240,0,0,0.120832,0.095648,0.01024,0.016384,0.120832,1.6,1.6,30720
57,128,240,0,0,0.113696,0.15904,0.009216,0.016384,0.15904,1.6,1.6,30720
58,128,240,0,0,0.11344,0.158784,0.01024,0.01536,0.158784,1.6,1.6,30720
59,128,240,0,0,0.114016,0.15936,0.008192,0.01536,0.15936,1.6,1.6,30720
60,128,240,0,0,0.134944,0.179872,0.009216,0.016384,0.179872,1.6,1.6,30720
61,128,240,0,0,0.082016,0.118176,0.009216,0.016384,0.118176,1.6,1.6,30720
62,128,240,0,0,0.084928,0.106304,0.009216,0.01536,0.106304,1.6,1.6,30720
63,128,240,0,0,0.074176,0.112,0.009216,0.01536,0.112,1.6,1.6,30720
64,128,240,0,0,0.157696,0.203072,0.009216,0.01536,0.203072,1.6,1.6,30720
65,128,240,0,0,0.079232,0.11344,0.009216,0.01536,0.11344,1.6,1.6,30720
66,128,240,0,0,0.07152,0.110912,0.008192,0.01536,0.110912,1.6,1.6,30720
67,128,240,0,0,0.073984,0.113696,0.01024,0.016384,0.113696,1.6,1.6,30720
68,128,240,0,0,0.092416,0.138848,0.009216,0.01536,0.138848,1.6,1.6,30720
