frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,1024,240,1,0,2.33472,0.042752,0.07168,0.017408,2.33472,12.8,12.8,245760
1,1024,240,1,0,0.106336,0.113696,0.0256,0.016384,0.113696,12.8,12.8,245760
2,1024,240,1,0,0.169376,0.18032,0.026624,0.016384,0.18032,12.8,12.8,245760
3,1024,240,1,0,0.380512,0.396224,0.0256,0.016384,0.396224,12.8,12.8,245760
4,1024,240,1,0,0.125184,0.141952,0.026624,0.017408,0.141952,12.8,12.8,245760
5,1024,240,1,0,0.10512,0.113472,0.0256,0.016384,0.113472,12.8,12.8,245760
6,1024,240,1,0,0.1064,0.113824,0.0256,0.017408,0.113824,12.8,12.8,245760
7,1024,240,1,0,0.258016,0.270144,0.026624,0.016384,0.270144,12.8,12.8,245760
8,1024,240,1,0,0.108288,0.115264,0.0256,0.018432,0.115264,12.8,12.8,245760
9,1024,240,1,0,0.147936,0.107264,0.0256,0.017408,0.147936,12.8,12.8,245760
10,1024,240,1,0,0.10288,0.11504,0.026624,0.016384,0.11504,12.8,12.8,245760
11,1024,240,1,0,0.125952,0.100288,0.023552,0.017408,0.125952,12.8,12.8,245760
12,1024,240,1,0,0.139712,0.103776,0.0256,0.017408,0.139712,12.8,12.8,245760
13,1024,240,1,0,0.114624,0.115808,0.0256,0.017408,0.115808,12.8,12.8,245760
14,1024,240,1,0,0.178112,0.09504,0.0256,0.017408,0.178112,12.8,12.8,245760
15,1024,240,1,0,0.127872,0.131488,0.0256,0.017408,0.131488,18.2432,12.8,245760
16,1024,240,1,0,0.108704,0.102144,0.0256,0.017408,0.108704,18.2432,12.8,245760
17,1024,240,1,0,0.168736,0.096288,0.0256,0.100352,0.168736,21.6146,12.8,245760
18,1024,240,1,0,0.124992,0.087968,0.0256,0.016384,0.124992,21.6146,12.8,245760
19,1024,240,1,0,0.108896,0.116,0.024576,0.017408,0.116,19.908,12.8,245760
20,1024,240,1,0,0.126624,0.127104,0.026624,0.017408,0.127104,19.908,12.8,245760
21,1024,240,1,0,0.121888,0.129536,0.026624,0.017408,0.129536,16.9552,12.8,245760
22,1024,240,1,0,0.114016,0.117248,0.024576,0.016384,0.117248,16.9552,12.8,245760
23,1024,240,1,0,0.125536,0.102976,0.026624,0.016384,0.125536,16.3812,12.8,245760
24,1024,240,1,0,0.11872,0.12272,0.0256,0.017408,0.12272,16.3812,12.8,245760
25,1024,240,1,0,0.112864,0.118176,0.026624,0.017408,0.118176,15.9129,12.8,245760
26,1024,240,1,0,0.133568,0.14544,0.026624,0.017408,0.14544,15.9129,12.8,245760
27,1024,240,1,0,0.156224,0.162304,0.026624,0.017408,0.162304,15.6291,12.8,245760
28,1024,240,1,0,0.126016,0.139008,0.0256,0.017408,0.139008,15.6291,12.8,245760
29,1024,240,1,0,0.149472,0.184736,0.038912,0.018432,0.184736,15.3974,12.8,245760
30,1024,240,1,0,0.153152,0.189344,0.036864,0.018432,0.189344,15.3974,12.8,245760
31,1024,240,1,0,0.188448,0.1344,0.034816,0.018432,0.188448,15.3974,12.8,245760
32,1024,240,1,0,0.151168,0.197536,0.037888,0.018432,0.197536,15.3974,12.8,245760
33,1024,240,1,0,0.07296,0.1136,0.036864,0.019456,0.1136,15.3974,12.8,245760
34,1024,240,1,0,0.159104,0.15792,0.037888,0.018432,0.159104,15.3974,12.8,245760
35,1024,240,1,0,0.147904,0.166304,0.036864,0.018432,0.166304,15.3974,12.8,245760
36,1024,240,1,0,0.175392,0.164352,0.037888,0.019456,0.175392,15.3974,12.8,245760
37,1024,240,1,0,0.151808,0.186912,0.038912,0.018432,0.186912,15.3974,12.8,245760
38,1024,240,1,0,0.242368,0.277344,0.036864,0.018432,0.277344,15.3974,12.8,245760
39,1024,240,1,0,0.167616,0.204096,0.03584,0.018432,0.204096,15.3974,12.8,245760
40,1024,240,1,0,0.155072,0.200448,0.036864,0.018432,0.200448,15.3974,12.8,245760
41,1024,240,1,0,0.156256,0.191232,0.037888,0.019456,0.191232,15.3974,12.8,245760
42,1024,240,1,0,0.138464,0.18016,0.038912,0.019456,0.18016,15.3974,12.8,245760
43,1024,240,1,0,0.147264,0.182912,0.03584,0.018432,0.182912,15.3974,12.8,245760
44,1024,240,1,0,0.137472,0.180416,0.037888,0.018432,0.180416,15.3974,12.8,245760
45,1024,240,1,0,0.15408,0.166784,0.038912,0.018432,0.166784,15.3974,12.8,245760
46,1024,240,1,0,0.13808,0.159552,0.037888,0.018432,0.159552,15.3974,12.8,245760
47,1024,240,1,0,0.15504,0.186336,0.036864,0.018432,0.186336,15.3974,12.8,245760
48,1024,240,1,0,0.196736,0.157184,0.037888,0.019456,0.196736,15.3974,12.8,245760
49,1024,240,1,0,0.154848,0.188448,0.036864,0.018432,0.188448,15.3974,12.8,245760
50,1024,240,1,0,0.136288,0.178496,0.037888,0.018432,0.178496,15.3974,12.8,245760
51,1024,240,1,0,0.172928,0.219328,0.036864,0.018432,0.219328,15.3974,12.8,245760
52,1024,240,1,0,0.185952,0.165888,0.03584,0.019456,0.185952,15.3974,12.8,245760
53,1024,240,1,0,0.167648,0.212992,0.03584,0.018432,0.212992,15.3974,12.8,245760
54,1024,240,1,0,0.164896,0.211232,0.037888,0.019456,0.211232,15.3974,12.8,245760
55,1024,240,1,0,0.082624,0.119616,0.03584,0.018432,0.119616,15.3974,12.8,245760
56,1024,240,1,0,0.082752,0.119232,0.036864,0.019456,0.119232,15.3974,12.8,245760
57,1024,240,1,0,0.110016,0.155392,0.03584,0.018432,0.155392,15.3974,12.8,245760
