frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,128,120,0,0,2.30947,0.064928,0.098304,0.0512,2.30947,0.8,0.8,15360
1,128,120,0,0,0.123232,0.133696,0.008192,0.017408,0.133696,0.8,0.8,15360
2,128,120,0,0,0.126848,0.1248,0.008192,0.016384,0.126848,0.8,0.8,15360
3,128,120,0,0,0.0624,0.072672,0.008192,0.01536,0.072672,0.8,0.8,15360
4,128,120,0,0,0.13424,0.12496,0.009216,0.017408,0.13424,0.8,0.8,15360
5,128,120,0,0,0.13424,0.136928,0.008192,0.01536,0.136928,0.8,0.8,15360
6,128,120,0,0,0.144672,0.126848,0.009216,0.016384,0.144672,0.8,0.8,15360
7,128,120,0,0,0.164736,0.181184,0.009216,0.016384,0.181184,0.8,0.8,15360
8,128,120,0,0,0.126368,0.136512,0.008192,0.016384,0.136512,0.8,0.8,15360
9,128,120,0,0,0.1304,0.115872,0.009216,0.016384,0.1304,0.8,0.8,15360
10,128,120,0,0,0.128832,0.134752,0.008192,0.016384,0.134752,0.8,0.8,15360
11,128,120,0,0,0.456768,0.42096,0.008192,0.017408,0.456768,0.8,0.8,15360
12,128,120,0,0,0.131456,0.137824,0.008192,0.017408,0.137824,0.8,0.8,15360
13,128,120,0,0,0.040448,0.049216,0.008192,0.01536,0.049216,0.8,0.8,15360
14,128,120,0,0,0.15552,0.169952,0.008192,0.016384,0.169952,0.8,0.8,15360
15,128,120,0,0,0.160992,0.16096,0.008192,0.016384,0.160992,0.8,0.8,15360
16,128,120,0,0,0.14544,0.082464,0.008192,0.017408,0.14544,0.8,0.8,15360
17,128,120,0,0,0.128384,0.13776,0.009216,0.016384,0.13776,0.8,0.8,15360
18,128,120,0,0,0.143168,0.15264,0.009216,0.01536,0.15264,0.8,0.8,15360
19,128,120,0,0,0.139712,0.147904,0.008192,0.016384,0.147904,0.8,0.8,15360
20,128,120,0,0,0.136,0.147264,0.008192,0.017408,0.147264,0.8,0.8,15360
21,128,120,0,0,0.147136,0.15392,0.008192,0.016384,0.15392,0.8,0.8,15360
22,128,120,0,0,0.1496,0.158656,0.008192,0.016384,0.158656,0.8,0.8,15360
23,128,120,0,0,0.167648,0.182176,0.007168,0.016384,0.182176,0.8,0.8,15360
24,128,120,0,0,0.130176,0.135648,0.009216,0.016384,0.135648,0.8,0.8,15360
25,128,120,0,0,0.135488,0.144928,0.008192,0.01536,0.144928,0.8,0.8,15360
26,128,120,0,0,0.125472,0.128576,0.008192,0.01536,0.128576,0.8,0.8,15360
27,128,120,0,0,0.109696,0.116288,0.007168,0.01536,0.116288,0.8,0.8,15360
28,128,120,0,0,0.108832,0.11568,0.009216,0.016384,0.11568,0.8,0.8,15360
29,128,120,0,0,0.148512,0.186528,0.008192,0.022528,0.186528,0.8,0.8,15360
30,128,120,0,0,0.180352,0.166592,0.009216,0.01536,0.180352,0.8,0.8,15360
31,128,120,0,0,0.15808,0.16672,0.008192,0.014336,0.16672,0.8,0.8,15360
32,128,120,0,0,0.135392,0.175584,0.01024,0.017408,0.175584,0.8,0.8,15360
33,128,120,0,0,0.192256,0.23008,0.008192,0.01536,0.23008,0.8,0.8,15360
34,128,120,0,0,0.153952,0.201344,0.009216,0.016384,0.201344,0.8,0.8,15360
35,128,120,0,0,0.139104,0.176032,0.008192,0.01536,0.176032,0.8,0.8,15360
36,128,120,0,0,0.1408,0.177792,0.009216,0.016384,0.177792,0.8,0.8,15360
37,128,120,0,0,0.146624,0.163104,0.008192,0.01536,0.163104,0.8,0.8,15360
38,128,120,0,0,0.13456,0.176288,0.009216,0.015392,0.176288,0.8,0.8,15360
39,128,120,0,0,0.168512,0.174592,0.007168,0.014336,0.174592,0.8,0.8,15360
40,128,120,0,0,0.140896,0.178432,0.009216,0.016384,0.178432,0.8,0.8,15360
41,128,120,0,0,0.16016,0.200416,0.014336,0.01536,0.200416,0.8,0.8,15360
42,128,120,0,0,0.143264,0.180416,0.009216,0.016384,0.180416,0.8,0.8,15360
43,128,120,0,0,0.158176,0.204512,0.009216,0.01536,0.204512,0.8,0.8,15360
44,128,120,0,0,0.149408,0.178752,0.008192,0.016384,0.178752,0.8,0.8,15360
45,128,120,0,0,0.18832,0.164128,0.01024,0.01536,0.18832,0.8,0.8,15360
46,128,120,0,0,0.2032,0.16032,0.008192,0.01536,0.2032,0.8,0.8,15360
47,128,120,0,0,0.15344,0.161472,0.008192,0.016384,0.161472,0.8,0.8,15360
48,128,120,0,0,0.167584,0.214016,0.009216,0.016384,0.214016,0.8,0.8,15360
49,128,120,0,0,0.141696,0.16592,0.008192,0.016384,0.16592,0.8,0.8,15360
50,128,120,0,0,0.170464,0.207616,0.009216,0.01536,0.207616,0.8,0.8,15360
51,128,120,0,0,0.16176,0.164128,0.009216,0.016384,0.164128,0.8,0.8,15360
52,128,120,0,0,0.154624,0.183936,0.008192,0.01536,0.183936,0.8,0.8,15360
53,128,120,0,0,0.140384,0.178304,0.009216,0.01536,0.178304,0.8,0.8,15360
54,128,120,0,0,0.08512,0.120864,0.008192,0.014336,0.120864,0.8,0.8,15360
55,128,120,0,0,0.06736,0.10992,0.008192,0.014336,0.10992,0.8,0.8,15360
56,128,120,0,0,0.198112,0.094688,0.007232,0.016384,0.198112,0.8,0.8,15360
57,128,120,0,0,0.07632,0.116064,0.008192,0.01536,0.116064,0.8,0.8,15360
58,128,120,0,0,0.081792,0.119168,0.009216,0.01536,0.119168,0.8,0.8,15360
