frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,1024,38,1,1,1.89725,0.050976,0.079872,0.016384,1.89725,18,18,345600
1,1024,38,1,1,0.112064,0.115424,0.034816,0.016384,0.115424,18,18,345600
2,1024,38,1,1,0.112,0.120448,0.034816,0.01536,0.120448,18,18,345600
3,1024,38,1,1,0.105312,0.114464,0.033792,0.01536,0.114464,18,18,345600
4,1024,38,1,1,0.102368,0.110912,0.034816,0.016384,0.110912,18,18,345600
5,1024,38,1,1,0.107968,0.116192,0.033792,0.016384,0.116192,18,18,345600
6,1024,38,1,1,0.12608,0.096896,0.03584,0.016384,0.12608,18,18,345600
7,1024,38,1,1,0.133536,0.147072,0.034816,0.016384,0.147072,18,18,345600
8,1024,38,1,1,0.17168,0.099264,0.033792,0.016384,0.17168,18,18,345600
9,1024,38,1,1,0.143488,0.103456,0.034816,0.01536,0.143488,18,18,345600
10,1024,38,1,1,0.131488,0.093856,0.034816,0.016384,0.131488,18,18,345600
11,1024,38,1,1,0.115456,0.116864,0.034816,0.016384,0.116864,18,18,345600
12,1024,38,1,1,0.265824,0.241024,0.034816,0.016384,0.265824,18,18,345600
13,1024,38,1,1,0.103424,0.103904,0.03584,0.016384,0.103904,18,18,345600
14,1024,38,1,1,0.150368,0.16592,0.033792,0.016384,0.16592,18,18,345600
15,1024,38,1,1,0.104896,0.115296,0.034816,0.01536,0.115296,23.4432,18,345600
16,1024,38,1,1,0.256224,0.260992,0.03584,0.017408,0.260992,23.4432,18,345600
17,1024,38,1,1,0.12144,0.10672,0.03584,0.016384,0.12144,26.8146,18,345600
18,1024,38,1,1,0.14256,0.15312,0.034816,0.016384,0.15312,26.8146,18,345600
19,1024,38,1,1,0.136448,0.151072,0.033792,0.016384,0.151072,25.108,18,345600
20,1024,38,1,1,0.1184,0.123744,0.034816,0.016384,0.123744,25.108,18,345600
21,1024,38,1,1,0.112352,0.11984,0.03584,0.016384,0.11984,22.1552,18,345600
22,1024,38,1,1,0.13568,0.090656,0.034816,0.01536,0.13568,22.1552,18,345600
23,1024,38,1,1,0.12192,0.123872,0.03584,0.01536,0.123872,21.5812,18,345600
24,1024,38,1,1,0.133504,0.149152,0.034816,0.016384,0.149152,21.5812,18,345600
25,1024,38,1,1,0.120928,0.121248,0.03584,0.016384,0.121248,21.1129,18,345600
26,1024,38,1,1,0.13744,0.153152,0.03584,0.016384,0.153152,21.1129,18,345600
27,1024,38,1,1,0.1296,0.100736,0.03584,0.016384,0.1296,20.8291,18,345600
28,1024,38,1,1,0.136064,0.15184,0.033792,0.017408,0.15184,20.8291,18,345600
29,1024,38,1,1,0.174464,0.220672,0.052224,0.019456,0.220672,20.5974,18,345600
30,1024,38,1,1,0.156448,0.18752,0.052224,0.018432,0.18752,20.5974,18,345600
31,1024,38,1,1,0.171424,0.214176,0.050176,0.018432,0.214176,20.5974,18,345600
32,1024,38,1,1,0.169952,0.21248,0.0512,0.019456,0.21248,20.5974,18,345600
33,1024,38,1,1,0.281856,0.325952,0.0512,0.018432,0.325952,20.5974,18,345600
34,1024,38,1,1,0.234496,0.162144,0.0512,0.019456,0.234496,20.5974,18,345600
35,1024,38,1,1,0.15984,0.204992,0.052224,0.018432,0.204992,20.5974,18,345600
36,1024,38,1,1,0.152544,0.165312,0.0512,0.019456,0.165312,20.5974,18,345600
37,1024,38,1,1,0.15664,0.202016,0.052224,0.018432,0.202016,20.5974,18,345600
38,1024,38,1,1,0.177536,0.220352,0.052224,0.018432,0.220352,20.5974,18,345600
39,1024,38,1,1,0.13936,0.177504,0.0512,0.018432,0.177504,20.5974,18,345600
40,1024,38,1,1,0.156384,0.190656,0.052224,0.018432,0.190656,20.5974,18,345600
41,1024,38,1,1,0.16448,0.141696,0.052224,0.019456,0.16448,20.5974,18,345600
42,1024,38,1,1,0.137568,0.175584,0.052224,0.018432,0.175584,20.5974,18,345600
43,1024,38,1,1,0.239488,0.28096,0.0512,0.018432,0.28096,20.5974,18,345600
44,1024,38,1,1,0.153408,0.200768,0.052224,0.019456,0.200768,20.5974,18,345600
45,1024,38,1,1,0.141984,0.17696,0.0512,0.018432,0.17696,20.5974,18,345600
46,1024,38,1,1,0.140864,0.1784,0.052224,0.018432,0.1784,20.5974,18,345600
47,1024,38,1,1,0.137568,0.159488,0.0512,0.018432,0.159488,20.5974,18,345600
48,1024,38,1,1,0.140064,0.178496,0.052224,0.018432,0.178496,20.5974,18,345600
49,1024,38,1,1,0.15888,0.159584,0.0512,0.018432,0.159584,20.5974,18,345600
50,1024,38,1,1,0.135968,0.175616,0.0512,0.018432,0.175616,20.5974,18,345600
51,1024,38,1,1,0.147168,0.18,0.0512,0.019456,0.18,20.5974,18,345600
52,1024,38,1,1,0.17136,0.217824,0.052224,0.018432,0.217824,20.5974,18,345600
53,1024,38,1,1,0.153472,0.191584,0.052224,0.018432,0.191584,20.5974,18,345600
54,1024,38,1,1,0.144704,0.183584,0.052224,0.018432,0.183584,20.5974,18,345600
55,1024,38,1,1,0.150944,0.181056,0.0512,0.018432,0.181056,20.5974,18,345600
56,1024,38,1,1,0.073728,0.114368,0.0512,0.018432,0.114368,20.5974,18,345600
57,1024,38,1,1,0.076512,0.116096,0.0512,0.018432,0.116096,20.5974,18,345600
58,1024,38,1,1,0.091584,0.100256,0.053248,0.018432,0.100256,20.5974,18,345600
59,1024,38,1,1,0.108032,0.153472,0.0512,0.018432,0.153472,20.5974,18,345600
60,1024,38,1,1,0.108992,0.155328,0.0512,0.018432,0.155328,20.5974,18,345600
61,1024,38,1,1,0.07136,0.10656,0.0512,0.018432,0.10656,20.5974,18,345600
62,1024,38,1,1,0.090368,0.114112,0.050176,0.018432,0.114112,20.5974,18,345600
63,1024,38,1,1,0.087392,0.117024,0.0512,0.018432,0.117024,20.5974,18,345600
64,1024,38,1,1,0.146624,0.192992,0.052224,0.018432,0.192992,20.5974,18,345600
65,1024,38,1,1,0.098208,0.141472,0.0512,0.017408,0.141472,20.5974,18,345600
66,1024,38,1,1,0.104896,0.15056,0.0512,0.018432,0.15056,20.5974,18,345600
67,1024,38,1,1,0.081824,0.111456,0.052224,0.018432,0.111456,20.5974,18,345600
68,1024,38,1,1,0.10112,0.146496,0.0512,0.018432,0.146496,20.5974,18,345600
69,1024,38,1,1,0.1304,0.175872,0.052224,0.018432,0.175872,20.5974,18,345600
70,1024,38,1,1,0.079712,0.122656,0.0512,0.018432,0.122656,20.5974,18,345600
71,1024,38,1,1,0.104416,0.15072,0.052224,0.018432,0.15072,20.5974,18,345600
72,1024,38,1,1,0.128672,0.174016,0.052224,0.017408,0.174016,20.5974,18,345600
73,1024,38,1,1,0.107104,0.153376,0.0512,0.017408,0.153376,20.5974,18,345600
74,1024,38,1,1,0.080576,0.116576,0.0512,0.018432,0.116576,20.5974,18,345600
75,1024,38,1,1,0.105024,0.150368,0.052224,0.018432,0.150368,20.5974,18,345600
76,1024,38,1,1,0.10896,0.153536,0.050176,0.018432,0.153536,20.5974,18,345600
77,1024,38,1,1,0.090976,0.104608,0.0512,0.019456,0.104608,20.5974,18,345600
78,1024,38,1,1,0.098496,0.141664,0.0512,0.018432,0.141664,20.5974,18,345600
79,1024,38,1,1,0.10352,0.132992,0.050176,0.019456,0.132992,20.5974,18,345600
80,1024,38,1,1,0.103712,0.149056,0.050176,0.017408,0.149056,20.5974,18,345600
81,1024,38,1,1,0.103104,0.145728,0.0512,0.018432,0.145728,20.5974,18,345600
82,1024,38,1,1,0.10624,0.152032,0.0512,0.017408,0.152032,20.5974,18,345600
83,1024,38,1,1,0.11472,0.160064,0.0512,0.018432,0.160064,20.5974,18,345600
84,1024,38,1,1,0.109312,0.152192,0.050176,0.017408,0.152192,20.5974,18,345600
85,1024,38,1,1,0.108768,0.15344,0.0512,0.018432,0.15344,20.5974,18,345600
86,1024,38,1,1,0.107776,0.152544,0.0512,0.018432,0.152544,20.5974,18,345600
87,1024,38,1,1,0.091136,0.137536,0.0512,0.017408,0.137536,20.5974,18,345600
88,1024,38,1,1,0.118464,0.16432,0.0512,0.018432,0.16432,20.5974,18,345600
89,1024,38,1,1,0.077696,0.112864,0.0512,0.018432,0.112864,20.5974,18,345600
90,1024,38,1,1,0.079104,0.117632,0.0512,0.018432,0.117632,20.5974,18,345600
