frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,256,120,0,0,1.74806,0.070944,0.091136,0.048,1.74806,1.6,1.6,30720
1,256,120,0,0,0.13472,0.139584,0.007168,0.01536,0.139584,1.6,1.6,30720
2,256,120,0,0,0.108224,0.117472,0.007168,0.014368,0.117472,1.6,1.6,30720
3,256,120,0,0,0.10992,0.114496,0.007168,0.01536,0.114496,1.6,1.6,30720
4,256,120,0,0,0.169056,0.0888,0.008192,0.014336,0.169056,1.6,1.6,30720
5,256,120,0,0,0.113664,0.11568,0.007168,0.01536,0.11568,1.6,1.6,30720
6,256,120,0,0,0.1344,0.151136,0.008192,0.01536,0.151136,1.6,1.6,30720
7,256,120,0,0,0.11952,0.122464,0.006144,0.014336,0.122464,1.6,1.6,30720
8,256,120,0,0,0.108416,0.115456,0.008192,0.01536,0.115456,1.6,1.6,30720
9,256,120,0,0,0.10752,0.094496,0.007168,0.01536,0.10752,1.6,1.6,30720
10,256,120,0,0,0.14368,0.159328,0.008192,0.014336,0.159328,1.6,1.6,30720
11,256,120,0,0,0.123168,0.128128,0.007168,0.01536,0.128128,1.6,1.6,30720
12,256,120,0,0,0.114912,0.083072,0.007168,0.01536,0.114912,1.6,1.6,30720
13,256,120,0,0,0.112896,0.11744,0.008192,0.014336,0.11744,1.6,1.6,30720
14,256,120,0,0,0.145024,0.153856,0.008192,0.01536,0.153856,1.6,1.6,30720
15,256,120,0,0,0.13696,0.146048,0.008192,0.014336,0.146048,1.6,1.6,30720
16,256,120,0,0,0.140992,0.146496,0.007168,0.01536,0.146496,1.6,1.6,30720
17,256,120,0,0,0.159136,0.103456,0.007168,0.014336,0.159136,1.6,1.6,30720
18,256,120,0,0,0.123296,0.13008,0.009216,0.01536,0.13008,1.6,1.6,30720
19,256,120,0,0,0.119232,0.12848,0.006144,0.01536,0.12848,1.6,1.6,30720
20,256,120,0,0,0.119456,0.101024,0.007168,0.01536,0.119456,1.6,1.6,30720
21,256,120,0,0,0.108576,0.115872,0.008192,0.01536,0.115872,1.6,1.6,30720
22,256,120,0,0,0.102752,0.113536,0.007168,0.01536,0.113536,1.6,1.6,30720
23,256,120,0,0,0.124608,0.094624,0.008192,0.014336,0.124608,1.6,1.6,30720
24,256,120,0,0,0.107552,0.11632,0.008192,0.01536,0.11632,1.6,1.6,30720
25,256,120,0,0,0.115264,0.078752,0.082944,0.067584,0.115264,1.6,1.6,30720
