frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,512,75,1,1,1.5831,0.082048,0.069632,0.01536,1.5831,18,18,345600
1,512,75,1,1,0.109184,0.113024,0.0256,0.01536,0.113024,18,18,345600
2,512,75,1,1,0.136992,0.152608,0.0256,0.01536,0.152608,18,18,345600
3,512,75,1,1,0.12432,0.123936,0.024576,0.01536,0.12432,18,18,345600
4,512,75,1,1,0.142048,0.15776,0.024576,0.016384,0.15776,18,18,345600
5,512,75,1,1,0.119488,0.128,0.026624,0.01536,0.128,18,18,345600
6,512,75,1,1,0.144256,0.14576,0.024576,0.01536,0.14576,18,18,345600
7,512,75,1,1,0.111072,0.097792,0.024576,0.016384,0.111072,18,18,345600
8,512,75,1,1,0.11024,0.11536,0.0256,0.01536,0.11536,18,18,345600
9,512,75,1,1,0.11216,0.121696,0.0256,0.01536,0.121696,18,18,345600
10,512,75,1,1,0.140352,0.157056,0.0256,0.01536,0.157056,18,18,345600
11,512,75,1,1,0.109056,0.115488,0.024576,0.01536,0.115488,18,18,345600
12,512,75,1,1,0.23984,0.25536,0.024576,0.01536,0.25536,18,18,345600
13,512,75,1,1,0.125312,0.127328,0.0256,0.01536,0.127328,18,18,345600
14,512,75,1,1,0.118976,0.13456,0.024576,0.01536,0.13456,18,18,345600
15,512,75,1,1,0.122752,0.126976,0.024576,0.01536,0.126976,23.4432,18,345600
16,512,75,1,1,0.1144,0.117632,0.0256,0.01536,0.117632,23.4432,18,345600
17,512,75,1,1,0.150848,0.167552,0.0256,0.01536,0.167552,26.8146,18,345600
18,512,75,1,1,0.107456,0.113568,0.0256,0.01536,0.113568,26.8146,18,345600
19,512,75,1,1,0.104288,0.112416,0.026624,0.01536,0.112416,25.108,18,345600
20,512,75,1,1,0.103264,0.113344,0.0256,0.016384,0.113344,25.108,18,345600
21,512,75,1,1,0.119712,0.12464,0.026624,0.01536,0.12464,22.1552,18,345600
22,512,75,1,1,0.134368,0.151104,0.0256,0.01536,0.151104,22.1552,18,345600
23,512,75,1,1,0.135232,0.097952,0.024576,0.01536,0.135232,21.5812,18,345600
24,512,75,1,1,0.118272,0.134272,0.024576,0.016384,0.134272,21.5812,18,345600
25,512,75,1,1,0.131808,0.144736,0.026624,0.01536,0.144736,21.1129,18,345600
26,512,75,1,1,0.284352,0.295776,0.0256,0.01536,0.295776,21.1129,18,345600
27,512,75,1,1,0.155264,0.159776,0.024576,0.01536,0.159776,20.8291,18,345600
28,512,75,1,1,0.1144,0.11824,0.027648,0.016384,0.11824,20.8291,18,345600
29,512,75,1,1,0.162624,0.206304,0.036864,0.017408,0.206304,20.5974,18,345600
30,512,75,1,1,0.177472,0.222848,0.037888,0.017408,0.222848,20.5974,18,345600
31,512,75,1,1,0.18128,0.226624,0.036864,0.019456,0.226624,20.5974,18,345600
32,512,75,1,1,0.140128,0.177664,0.036864,0.018432,0.177664,20.5974,18,345600
33,512,75,1,1,0.1368,0.176384,0.036864,0.018432,0.176384,20.5974,18,345600
34,512,75,1,1,0.172256,0.21664,0.036864,0.017408,0.21664,20.5974,18,345600
35,512,75,1,1,0.15296,0.186752,0.036864,0.018432,0.186752,20.5974,18,345600
36,512,75,1,1,0.15712,0.192736,0.038912,0.02048,0.192736,20.5974,18,345600
37,512,75,1,1,0.152768,0.189408,0.037888,0.018432,0.189408,20.5974,18,345600
38,512,75,1,1,0.142336,0.17664,0.036864,0.017408,0.17664,20.5974,18,345600
39,512,75,1,1,0.158944,0.20432,0.036864,0.018432,0.20432,20.5974,18,345600
40,512,75,1,1,0.13936,0.177504,0.038912,0.017408,0.177504,20.5974,18,345600
41,512,75,1,1,0.16944,0.215072,0.036864,0.018432,0.215072,20.5974,18,345600
42,512,75,1,1,0.15408,0.167104,0.037888,0.017408,0.167104,20.5974,18,345600
43,512,75,1,1,0.13824,0.175392,0.03584,0.017408,0.175392,20.5974,18,345600
44,512,75,1,1,0.134528,0.166976,0.037888,0.018432,0.166976,20.5974,18,345600
45,512,75,1,1,0.149216,0.18512,0.037888,0.017408,0.18512,20.5974,18,345600
46,512,75,1,1,0.164096,0.176288,0.037888,0.018432,0.176288,20.5974,18,345600
