frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,128,300,1,1,3.00797,0.055136,0.070656,0.016384,3.00797,18,18,345600
1,128,300,1,1,0.119904,0.104288,0.024576,0.01536,0.119904,18,18,345600
2,128,300,1,1,0.102752,0.099424,0.024576,0.01536,0.102752,18,18,345600
3,128,300,1,1,0.109888,0.105152,0.024576,0.01536,0.109888,18,18,345600
4,128,300,1,1,0.107136,0.115264,0.023552,0.01536,0.115264,18,18,345600
5,128,300,1,1,0.123328,0.10832,0.024576,0.01536,0.123328,18,18,345600
6,128,300,1,1,0.104064,0.117248,0.0256,0.01536,0.117248,18,18,345600
7,128,300,1,1,0.109664,0.11712,0.022528,0.01536,0.11712,18,18,345600
8,128,300,1,1,0.122592,0.128224,0.028672,0.059392,0.128224,18,18,345600
9,128,300,1,1,0.161824,0.147008,0.024576,0.01536,0.161824,18,18,345600
10,128,300,1,1,0.143744,0.157984,0.0256,0.01536,0.157984,18,18,345600
11,128,300,1,1,0.109504,0.116416,0.024576,0.01536,0.116416,18,18,345600
12,128,300,1,1,0.107296,0.117312,0.0256,0.01536,0.117312,18,18,345600
13,128,300,1,1,0.105984,0.098624,0.0256,0.014336,0.105984,18,18,345600
14,128,300,1,1,0.108352,0.11472,0.024576,0.01536,0.11472,18,18,345600
15,128,300,1,1,0.10912,0.114368,0.024576,0.01536,0.114368,23.4432,18,345600
16,128,300,1,1,0.122016,0.126976,0.0256,0.01536,0.126976,23.4432,18,345600
17,128,300,1,1,0.12464,0.093984,0.024576,0.01536,0.12464,26.8146,18,345600
18,128,300,1,1,0.11872,0.134464,0.0256,0.01536,0.134464,26.8146,18,345600
19,128,300,1,1,0.12272,0.123712,0.023552,0.01536,0.123712,25.108,18,345600
20,128,300,1,1,0.1592,0.094656,0.024576,0.108544,0.1592,25.108,18,345600
21,128,300,1,1,0.106688,0.115552,0.0256,0.016384,0.115552,22.1552,18,345600
22,128,300,1,1,0.123008,0.138624,0.024576,0.01536,0.138624,22.1552,18,345600
23,128,300,1,1,0.128064,0.142304,0.024576,0.01536,0.142304,21.5812,18,345600
24,128,300,1,1,0.111424,0.115808,0.0256,0.01536,0.115808,21.5812,18,345600
25,128,300,1,1,0.1016,0.114816,0.024576,0.01536,0.114816,21.1129,18,345600
26,128,300,1,1,0.131392,0.107808,0.024576,0.01536,0.131392,21.1129,18,345600
27,128,300,1,1,0.137408,0.139392,0.024576,0.014336,0.139392,20.8291,18,345600
28,128,300,1,1,0.108064,0.11952,0.024576,0.01536,0.11952,20.8291,18,345600
29,128,300,1,1,0.147008,0.183104,0.03584,0.017408,0.183104,20.5974,18,345600
30,128,300,1,1,0.139712,0.175776,0.036864,0.017408,0.175776,20.5974,18,345600
31,128,300,1,1,0.19488,0.158368,0.034816,0.016384,0.19488,20.5974,18,345600
32,128,300,1,1,0.144128,0.178208,0.03584,0.017408,0.178208,20.5974,18,345600
