frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,256,240,1,0,2.76419,0.095296,0.053248,0.031936,2.76419,3.2,3.2,61440
1,256,240,1,0,0.204704,0.19696,0.01024,0.01536,0.204704,3.2,3.2,61440
2,256,240,1,0,0.123712,0.11536,0.009216,0.01536,0.123712,3.2,3.2,61440
3,256,240,1,0,0.123648,0.125216,0.008192,0.014336,0.125216,3.2,3.2,61440
4,256,240,1,0,0.12352,0.128352,0.009216,0.01536,0.128352,3.2,3.2,61440
5,256,240,1,0,0.117792,0.122848,0.01024,0.01536,0.122848,3.2,3.2,61440
6,256,240,1,0,0.112576,0.121632,0.009216,0.014336,0.121632,3.2,3.2,61440
7,256,240,1,0,0.124192,0.124544,0.009216,0.014336,0.124544,3.2,3.2,61440
8,256,240,1,0,0.108096,0.11488,0.008192,0.01536,0.11488,3.2,3.2,61440
9,256,240,1,0,0.122272,0.113152,0.012288,0.014336,0.122272,3.2,3.2,61440
10,256,240,1,0,0.085536,0.104128,0.009216,0.01536,0.104128,3.2,3.2,61440
11,256,240,1,0,0.130848,0.10192,0.008192,0.01536,0.130848,3.2,3.2,61440
12,256,240,1,0,0.122432,0.129056,0.009216,0.01536,0.129056,3.2,3.2,61440
13,256,240,1,0,0.143136,0.085312,0.009216,0.01536,0.143136,3.2,3.2,61440
14,256,240,1,0,0.124352,0.090528,0.009216,0.01536,0.124352,3.2,3.2,61440
15,256,240,1,0,0.224416,0.171712,0.009216,0.01536,0.224416,3.2,3.2,61440
16,256,240,1,0,0.1216,0.138144,0.009216,0.016384,0.138144,3.2,3.2,61440
17,256,240,1,0,0.208736,0.22336,0.009216,0.01536,0.22336,3.2,3.2,61440
18,256,240,1,0,0.281088,0.229184,0.008192,0.01536,0.281088,3.2,3.2,61440
19,256,240,1,0,0.128608,0.143168,0.008192,0.01536,0.143168,3.2,3.2,61440
20,256,240,1,0,0.12224,0.103904,0.008192,0.01536,0.12224,3.2,3.2,61440
21,256,240,1,0,0.132768,0.148448,0.01024,0.014336,0.148448,3.2,3.2,61440
