frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,512,120,1,0,2.20624,0.041888,0.05632,0.01536,2.20624,3.2,3.2,61440
1,512,120,1,0,0.105696,0.112032,0.01024,0.014336,0.112032,3.2,3.2,61440
2,512,120,1,0,0.108192,0.114784,0.009216,0.01536,0.114784,3.2,3.2,61440
3,512,120,1,0,0.108832,0.119136,0.008192,0.016384,0.119136,3.2,3.2,61440
4,512,120,1,0,0.12304,0.128352,0.009216,0.016384,0.128352,3.2,3.2,61440
5,512,120,1,0,0.147872,0.098976,0.01024,0.01536,0.147872,3.2,3.2,61440
6,512,120,1,0,0.108992,0.115936,0.009216,0.01536,0.115936,3.2,3.2,61440
7,512,120,1,0,0.135936,0.107456,0.009216,0.01536,0.135936,3.2,3.2,61440
8,512,120,1,0,0.127104,0.141536,0.009216,0.01536,0.141536,3.2,3.2,61440
9,512,120,1,0,0.145472,0.15392,0.01024,0.01536,0.15392,3.2,3.2,61440
10,512,120,1,0,0.114848,0.121472,0.008192,0.01536,0.121472,3.2,3.2,61440
11,512,120,1,0,0.16288,0.104128,0.009216,0.01536,0.16288,3.2,3.2,61440
12,512,120,1,0,0.105856,0.116192,0.009216,0.01536,0.116192,3.2,3.2,61440
13,512,120,1,0,0.108928,0.11648,0.01024,0.01536,0.11648,3.2,3.2,61440
14,512,120,1,0,0.145824,0.160512,0.009216,0.01536,0.160512,3.2,3.2,61440
15,512,120,1,0,0.119968,0.103552,0.009216,0.014336,0.119968,3.2,3.2,61440
16,512,120,1,0,0.123936,0.102624,0.009216,0.01536,0.123936,3.2,3.2,61440
17,512,120,1,0,0.107712,0.115232,0.01024,0.016384,0.115232,3.2,3.2,61440
18,512,120,1,0,0.14384,0.126368,0.009216,0.01536,0.14384,3.2,3.2,61440
19,512,120,1,0,0.14864,0.099232,0.009216,0.126976,0.14864,3.2,3.2,61440
20,512,120,1,0,0.103712,0.116,0.009216,0.01536,0.116,3.2,3.2,61440
21,512,120,1,0,0.12112,0.105088,0.01024,0.01536,0.12112,3.2,3.2,61440
22,512,120,1,0,0.10192,0.114016,0.009216,0.01536,0.114016,3.2,3.2,61440
23,512,120,1,0,0.125504,0.115808,0.009216,0.01536,0.125504,3.2,3.2,61440
24,512,120,1,0,0.105408,0.116416,0.009216,0.01536,0.116416,3.2,3.2,61440
25,512,120,1,0,0.110208,0.116192,0.01024,0.01536,0.116192,3.2,3.2,61440
26,512,120,1,0,0.13952,0.11552,0.009216,0.01536,0.13952,3.2,3.2,61440
27,512,120,1,0,0.106592,0.115296,0.009216,0.01536,0.115296,3.2,3.2,61440
28,512,120,1,0,0.117056,0.096704,0.009216,0.01536,0.117056,3.2,3.2,61440
29,512,120,1,0,0.179232,0.224512,0.011264,0.017408,0.224512,3.2,3.2,61440
30,512,120,1,0,0.166016,0.198592,0.013312,0.017408,0.198592,3.2,3.2,61440
31,512,120,1,0,0.169408,0.178656,0.011264,0.017408,0.178656,3.2,3.2,61440
32,512,120,1,0,0.161216,0.20768,0.013312,0.018432,0.20768,3.2,3.2,61440
33,512,120,1,0,0.169344,0.160256,0.012288,0.018432,0.169344,3.2,3.2,61440
34,512,120,1,0,0.148064,0.181472,0.011264,0.017408,0.181472,3.2,3.2,61440
35,512,120,1,0,0.164256,0.209568,0.012288,0.017408,0.209568,3.2,3.2,61440
36,512,120,1,0,0.322848,0.366304,0.012288,0.017408,0.366304,3.2,3.2,61440
37,512,120,1,0,0.149568,0.186112,0.011264,0.017408,0.186112,3.2,3.2,61440
38,512,120,1,0,0.145696,0.185152,0.011264,0.016384,0.185152,3.2,3.2,61440
39,512,120,1,0,0.180768,0.221664,0.012288,0.017408,0.221664,3.2,3.2,61440
40,512,120,1,0,0.142656,0.180224,0.012288,0.018432,0.180224,3.2,3.2,61440
41,512,120,1,0,0.163264,0.20864,0.012288,0.017408,0.20864,3.2,3.2,61440
42,512,120,1,0,0.167328,0.185728,0.013312,0.017408,0.185728,3.2,3.2,61440
43,512,120,1,0,0.136192,0.175168,0.011264,0.017408,0.175168,3.2,3.2,61440
44,512,120,1,0,0.279808,0.314752,0.011264,0.018432,0.314752,3.2,3.2,61440
45,512,120,1,0,0.19024,0.23664,0.013312,0.01648,0.23664,3.2,3.2,61440
46,512,120,1,0,0.142816,0.152544,0.013312,0.01744,0.152544,3.2,3.2,61440
47,512,120,1,0,0.133696,0.175872,0.01024,0.017408,0.175872,3.2,3.2,61440
48,512,120,1,0,0.141184,0.174944,0.012288,0.018432,0.174944,3.2,3.2,61440
49,512,120,1,0,0.156384,0.168896,0.012288,0.016384,0.168896,3.2,3.2,61440
50,512,120,1,0,0.157504,0.153024,0.012288,0.017408,0.157504,3.2,3.2,61440
51,512,120,1,0,0.147168,0.183136,0.01024,0.017408,0.183136,3.2,3.2,61440
52,512,120,1,0,0.17232,0.202752,0.012288,0.017408,0.202752,3.2,3.2,61440
53,512,120,1,0,0.152832,0.163744,0.013312,0.017408,0.163744,3.2,3.2,61440
54,512,120,1,0,0.083264,0.117184,0.012288,0.017408,0.117184,3.2,3.2,61440
55,512,120,1,0,0.077824,0.106304,0.01024,0.017408,0.106304,3.2,3.2,61440
56,512,120,1,0,0.08288,0.12,0.011264,0.017408,0.12,3.2,3.2,61440
57,512,120,1,0,0.127392,0.096352,0.01024,0.05632,0.127392,3.2,3.2,61440
58,512,120,1,0,0.080448,0.118592,0.013312,0.016384,0.118592,3.2,3.2,61440
59,512,120,1,0,0.10064,0.087232,0.012288,0.01936,0.10064,3.2,3.2,61440
60,512,120,1,0,0.078592,0.11696,0.011264,0.016384,0.11696,3.2,3.2,61440
61,512,120,1,0,0.086592,0.126144,0.012288,0.017408,0.126144,3.2,3.2,61440
62,512,120,1,0,0.0928,0.111744,0.013312,0.017408,0.111744,3.2,3.2,61440
63,512,120,1,0,0.086752,0.1104,0.013312,0.01744,0.1104,3.2,3.2,61440
64,512,120,1,0,0.112832,0.159232,0.012288,0.017408,0.159232,3.2,3.2,61440
65,512,120,1,0,0.092032,0.125696,0.012288,0.017408,0.125696,3.2,3.2,61440
66,512,120,1,0,0.10544,0.150816,0.011264,0.017408,0.150816,3.2,3.2,61440
67,512,120,1,0,0.084256,0.119584,0.011264,0.017408,0.119584,3.2,3.2,61440
68,512,120,1,0,0.077664,0.114528,0.011264,0.017408,0.114528,3.2,3.2,61440
69,512,120,1,0,0.103456,0.142176,0.012288,0.017408,0.142176,3.2,3.2,61440
70,512,120,1,0,0.072704,0.111584,0.011264,0.017408,0.111584,3.2,3.2,61440
71,512,120,1,0,0.094304,0.105024,0.012288,0.017408,0.105024,3.2,3.2,61440
72,512,120,1,0,0.104032,0.149408,0.011264,0.017408,0.149408,3.2,3.2,61440
73,512,120,1,0,0.098464,0.098368,0.012288,0.017408,0.098464,3.2,3.2,61440
74,512,120,1,0,0.077568,0.117952,0.01024,0.017408,0.117952,3.2,3.2,61440
75,512,120,1,0,0.077696,0.119232,0.011264,0.017408,0.119232,3.2,3.2,61440
76,512,120,1,0,0.128544,0.079168,0.01024,0.017408,0.128544,3.2,3.2,61440
77,512,120,1,0,0.08576,0.12496,0.012288,0.017408,0.12496,3.2,3.2,61440
78,512,120,1,0,0.107008,0.152384,0.01024,0.017408,0.152384,3.2,3.2,61440
79,512,120,1,0,0.078336,0.117056,0.011264,0.017408,0.117056,3.2,3.2,61440
80,512,120,1,0,0.103648,0.148992,0.011264,0.017408,0.148992,3.2,3.2,61440
81,512,120,1,0,0.069408,0.110528,0.013312,0.018432,0.110528,3.2,3.2,61440
82,512,120,1,0,0.152736,0.102304,0.01024,0.017408,0.152736,3.2,3.2,61440
83,512,120,1,0,0.105984,0.15136,0.013312,0.017408,0.15136,3.2,3.2,61440
84,512,120,1,0,0.09424,0.109856,0.011264,0.017408,0.109856,3.2,3.2,61440
