experiment,run_id,input_image,output_image,mode,intensity,bx,by,blur,passes,tpb,w,h,gridx,gridy,htod_ms,kernel_ms,dtoh_ms,total_ms,alloc_bytes,free0,free1,total_mem,exit_code,image_bytes,effective_bytes,kernel_GBs,total_GBs
B_by_sweep_blur0,1,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r01_bw_bx16_by4_blur0_p0.png,bw,1.0,16,4,0,0,64,256,256,16,64,0.116864,0.361152,0.083008,0.561024,393216,7438598144,7436500992,8585216000,0,196608,393216,1.0887825624667733,0.700889801505818
B_by_sweep_blur0,2,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r02_bw_bx16_by8_blur0_p0.png,bw,1.0,16,8,0,0,128,256,256,16,32,0.065152,0.270784,0.062496,0.398432,393216,7438598144,7436500992,8585216000,0,196608,393216,1.4521389742377686,0.9869086820335716
B_by_sweep_blur0,3,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r03_bw_bx16_by12_blur0_p0.png,bw,1.0,16,12,0,0,192,256,256,16,22,0.0808,0.3792,0.061088,0.521088,393216,7438598144,7436500992,8585216000,0,196608,393216,1.0369620253164558,0.7546057479734709
B_by_sweep_blur0,4,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r04_bw_bx16_by16_blur0_p0.png,bw,1.0,16,16,0,0,256,256,256,16,16,0.095968,0.319744,0.075264,0.490976,393216,7438598144,7436500992,8585216000,0,196608,393216,1.2297838270616495,0.8008863977057941
B_by_sweep_blur0,5,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r05_bw_bx16_by20_blur0_p0.png,bw,1.0,16,20,0,0,320,256,256,16,13,0.05936,0.166272,0.05344,0.279072,393216,7438598144,7436500992,8585216000,0,196608,393216,2.3648960739030023,1.409012727898177
B_by_sweep_blur0,6,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r06_bw_bx16_by24_blur0_p0.png,bw,1.0,16,24,0,0,384,256,256,16,11,0.06208,0.232064,0.058112,0.352256,393216,7438598144,7436500992,8585216000,0,196608,393216,1.6944291230005517,1.1162790697674418
B_by_sweep_blur0,7,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r07_bw_bx16_by28_blur0_p0.png,bw,1.0,16,28,0,0,448,256,256,16,10,0.168256,0.647104,0.065664,0.881024,393216,7438598144,7436500992,8585216000,0,196608,393216,0.6076550291761447,0.44631701293040826
B_by_sweep_blur0,8,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/InputImages/Smallville.png,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/MemoryHW/OutputImages/Smallville_B_by_sweep_blur0_r08_bw_bx16_by32_blur0_p0.png,bw,1.0,16,32,0,0,512,256,256,16,8,0.063936,0.246144,0.065632,0.375712,393216,7438598144,7436500992,8585216000,0,196608,393216,1.597503900156006,1.0465888765863214
