tag,mode,intensity,bx,by,blur,passes,wall_s,w,h,tpb,gridx,gridy,htod_ms,kernel_ms,dtoh_ms,total_ms,alloc_bytes,free0,free1,total_mem,pixels,img_bytes,kernel_GBps,total_GBps
A_bw_32x8_noblur,bw,1.0,32,8,0,0,0.7014946937561035,256,256,256,8,32,0.072576,0.227424,0.07312,0.37312,393216,7438598144,7436500992,8585216000,65536,196608,0.8644997889404812,0.5269296740994854
B_warm_16x16_noblur,warm,1.0,16,16,0,0,0.41708850860595703,256,256,256,16,16,0.07184,0.22624,0.063648,0.361728,393216,7438598144,7436500992,8585216000,65536,196608,0.869024045261669,0.5435244161358811
C_blue_32x16_noblur,blue,1.0,32,16,0,0,0.41706228256225586,256,256,512,8,16,0.108416,0.26128,0.07968,0.449376,393216,7438598144,7436500992,8585216000,65536,196608,0.7524800979791794,0.43751335184789575
D_bw_8x16_noblur,bw,0.7,8,16,0,0,0.43579936027526855,256,256,128,32,16,0.062688,0.253056,0.06144,0.377184,393216,7438598144,7436500992,8585216000,65536,196608,0.7769347496206374,0.5212522270297786
E_bw_16x16_blur_p1,bw,1.0,16,16,1,1,0.4631645679473877,256,256,256,16,16,0.116864,0.17248,0.064736,0.35408,786432,7438598144,7436500992,8585216000,65536,196608,1.1398886827458257,0.5552643470402169
F_bw_16x16_blur_p2,bw,1.0,16,16,1,2,0.44607973098754883,256,256,256,16,16,0.060256,0.193024,0.068288,0.321568,786432,7438598144,7436500992,8585216000,65536,196608,1.0185676392572944,0.6114041198129168
G_bw_16x16_blur_p3,bw,1.0,16,16,1,3,0.4831521511077881,256,256,256,16,16,0.060384,0.426688,0.15008,0.637152,786432,7438598144,7436500992,8585216000,65536,196608,0.4607769611519424,0.3085731505198131
H_bw_16x16_blur_p5,bw,1.0,16,16,1,5,0.47130370140075684,256,256,256,16,16,0.08784,0.413056,0.078176,0.579072,786432,7438598144,7436500992,8585216000,65536,196608,0.47598388596219404,0.3395225464190981
