frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,768,240,1,0,1.73837,0.048064,0.073728,0.016384,1.73837,9.6,9.6,184320
1,768,240,1,0,0.14112,0.143488,0.016384,0.01536,0.143488,9.6,9.6,184320
2,768,240,1,0,0.170176,0.088992,0.01536,0.016384,0.170176,9.6,9.6,184320
3,768,240,1,0,0.1216,0.10416,0.016384,0.016384,0.1216,9.6,9.6,184320
4,768,240,1,0,0.110016,0.117504,0.017408,0.016384,0.117504,9.6,9.6,184320
5,768,240,1,0,0.124128,0.13872,0.017408,0.016384,0.13872,9.6,9.6,184320
6,768,240,1,0,0.13584,0.111936,0.016384,0.01536,0.13584,9.6,9.6,184320
7,768,240,1,0,0.107552,0.112896,0.016384,0.016384,0.112896,9.6,9.6,184320
8,768,240,1,0,0.115616,0.123712,0.016384,0.016384,0.123712,9.6,9.6,184320
9,768,240,1,0,0.123552,0.140288,0.017408,0.01536,0.140288,9.6,9.6,184320
10,768,240,1,0,0.125216,0.132544,0.016384,0.016384,0.132544,9.6,9.6,184320
11,768,240,1,0,0.12128,0.121728,0.016384,0.016384,0.121728,9.6,9.6,184320
12,768,240,1,0,0.105824,0.115552,0.017408,0.016384,0.115552,9.6,9.6,184320
13,768,240,1,0,0.117248,0.117664,0.016384,0.016384,0.117664,9.6,9.6,184320
14,768,240,1,0,0.156608,0.104064,0.016384,0.01536,0.156608,9.6,9.6,184320
15,768,240,1,0,0.121408,0.106464,0.016384,0.016384,0.121408,12.7843,9.6,184320
16,768,240,1,0,0.11136,0.12112,0.016384,0.016384,0.12112,12.7843,9.6,184320
17,768,240,1,0,0.137696,0.115904,0.017408,0.01536,0.137696,14.7544,9.6,184320
18,768,240,1,0,0.114432,0.118496,0.016384,0.01536,0.118496,14.7544,9.6,184320
19,768,240,1,0,0.15648,0.171808,0.016384,0.01536,0.171808,13.75,9.6,184320
20,768,240,1,0,0.11232,0.113856,0.016384,0.016384,0.113856,13.75,9.6,184320
21,768,240,1,0,0.341472,0.3472,0.016384,0.016384,0.3472,12.0132,9.6,184320
22,768,240,1,0,0.120704,0.079296,0.016384,0.100352,0.120704,12.0132,9.6,184320
23,768,240,1,0,0.205856,0.101344,0.01536,0.01536,0.205856,11.6873,9.6,184320
24,768,240,1,0,0.128768,0.125152,0.017408,0.016384,0.128768,11.6873,9.6,184320
25,768,240,1,0,0.143392,0.159104,0.017408,0.01536,0.159104,11.4161,9.6,184320
26,768,240,1,0,0.135328,0.098752,0.017408,0.036864,0.135328,11.4161,9.6,184320
27,768,240,1,0,0.175552,0.07632,0.016384,0.01536,0.175552,11.2451,9.6,184320
28,768,240,1,0,0.2176,0.222816,0.017408,0.016384,0.222816,11.2451,9.6,184320
29,768,240,1,0,0.1712,0.167296,0.024576,0.018432,0.1712,11.1079,9.6,184320
30,768,240,1,0,0.151424,0.197408,0.0256,0.017408,0.197408,11.1079,9.6,184320
31,768,240,1,0,0.138048,0.163872,0.024576,0.018432,0.163872,11.1079,9.6,184320
32,768,240,1,0,0.140544,0.178464,0.024576,0.018432,0.178464,11.1079,9.6,184320
33,768,240,1,0,0.141152,0.18192,0.0256,0.017408,0.18192,11.1079,9.6,184320
34,768,240,1,0,0.428608,0.451072,0.024576,0.018432,0.451072,11.1079,9.6,184320
35,768,240,1,0,0.148672,0.177056,0.023552,0.017408,0.177056,11.1079,9.6,184320
36,768,240,1,0,0.180608,0.168704,0.024576,0.018432,0.180608,11.1079,9.6,184320
37,768,240,1,0,0.141888,0.178464,0.024576,0.017408,0.178464,11.1079,9.6,184320
38,768,240,1,0,0.139424,0.179392,0.024576,0.018432,0.179392,11.1079,9.6,184320
39,768,240,1,0,0.1384,0.157568,0.024576,0.017408,0.157568,11.1079,9.6,184320
40,768,240,1,0,0.160352,0.16576,0.0256,0.018432,0.16576,11.1079,9.6,184320
41,768,240,1,0,0.150528,0.167904,0.0256,0.018432,0.167904,11.1079,9.6,184320
42,768,240,1,0,0.180192,0.226592,0.0256,0.018432,0.226592,11.1079,9.6,184320
43,768,240,1,0,0.19504,0.166144,0.023552,0.018432,0.19504,11.1079,9.6,184320
44,768,240,1,0,0.13664,0.164288,0.0256,0.019456,0.164288,11.1079,9.6,184320
45,768,240,1,0,0.162208,0.20768,0.0256,0.017408,0.20768,11.1079,9.6,184320
46,768,240,1,0,0.142944,0.18432,0.0256,0.018432,0.18432,11.1079,9.6,184320
47,768,240,1,0,0.154144,0.155808,0.024576,0.017408,0.155808,11.1079,9.6,184320
48,768,240,1,0,0.154976,0.188736,0.024576,0.018432,0.188736,11.1079,9.6,184320
49,768,240,1,0,0.140832,0.166944,0.0256,0.017408,0.166944,11.1079,9.6,184320
50,768,240,1,0,0.142592,0.177536,0.024576,0.019456,0.177536,11.1079,9.6,184320
51,768,240,1,0,0.158112,0.185504,0.022528,0.018432,0.185504,11.1079,9.6,184320
52,768,240,1,0,0.081824,0.11792,0.024576,0.017408,0.11792,11.1079,9.6,184320
53,768,240,1,0,0.117152,0.162464,0.023552,0.017408,0.162464,11.1079,9.6,184320
54,768,240,1,0,0.124032,0.170368,0.024576,0.018432,0.170368,11.1079,9.6,184320
