frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,512,60,0,0,2.16118,0.090144,0.057344,0.01536,2.16118,1.6,1.6,30720
1,512,60,0,0,0.125824,0.090528,0.007168,0.01536,0.125824,1.6,1.6,30720
2,512,60,0,0,0.122144,0.12576,0.008192,0.01536,0.12576,1.6,1.6,30720
3,512,60,0,0,0.125056,0.117344,0.007168,0.01536,0.125056,1.6,1.6,30720
4,512,60,0,0,0.144896,0.106048,0.009216,0.016384,0.144896,1.6,1.6,30720
5,512,60,0,0,0.120224,0.1264,0.007168,0.014336,0.1264,1.6,1.6,30720
6,512,60,0,0,0.116416,0.117184,0.007168,0.01536,0.117184,1.6,1.6,30720
7,512,60,0,0,0.127456,0.105088,0.007168,0.01536,0.127456,1.6,1.6,30720
8,512,60,0,0,0.111648,0.116416,0.008192,0.016384,0.116416,1.6,1.6,30720
9,512,60,0,0,0.140064,0.155744,0.008192,0.01536,0.155744,1.6,1.6,30720
10,512,60,0,0,0.15232,0.166272,0.008192,0.01536,0.166272,1.6,1.6,30720
11,512,60,0,0,0.403616,0.40512,0.007168,0.01536,0.40512,1.6,1.6,30720
12,512,60,0,0,0.123264,0.10448,0.008192,0.01536,0.123264,1.6,1.6,30720
13,512,60,0,0,0.1152,0.122752,0.008192,0.014336,0.122752,1.6,1.6,30720
14,512,60,0,0,0.1368,0.152416,0.009216,0.01536,0.152416,1.6,1.6,30720
15,512,60,0,0,0.116448,0.117344,0.007168,0.01536,0.117344,1.6,1.6,30720
16,512,60,0,0,0.10336,0.114656,0.007168,0.016384,0.114656,1.6,1.6,30720
17,512,60,0,0,0.109824,0.113952,0.008192,0.01536,0.113952,1.6,1.6,30720
18,512,60,0,0,0.111104,0.117696,0.009216,0.01536,0.117696,1.6,1.6,30720
19,512,60,0,0,0.113344,0.118144,0.008192,0.01536,0.118144,1.6,1.6,30720
20,512,60,0,0,0.110496,0.103904,0.008192,0.016384,0.110496,1.6,1.6,30720
21,512,60,0,0,0.114368,0.116928,0.008192,0.01536,0.116928,1.6,1.6,30720
22,512,60,0,0,0.14672,0.107232,0.007168,0.01536,0.14672,1.6,1.6,30720
23,512,60,0,0,0.102976,0.112928,0.007168,0.01536,0.112928,1.6,1.6,30720
24,512,60,0,0,0.16816,0.099328,0.007168,0.113664,0.16816,1.6,1.6,30720
25,512,60,0,0,0.116192,0.078656,0.021504,0.036864,0.116192,1.6,1.6,30720
26,512,60,0,0,0.116352,0.115424,0.008192,0.014336,0.116352,1.6,1.6,30720
27,512,60,0,0,0.130496,0.105376,0.007168,0.014368,0.130496,1.6,1.6,30720
28,512,60,0,0,0.131328,0.104032,0.008192,0.016384,0.131328,1.6,1.6,30720
29,512,60,0,0,0.14416,0.156704,0.01024,0.016384,0.156704,1.6,1.6,30720
30,512,60,0,0,0.140192,0.175648,0.009216,0.016384,0.175648,1.6,1.6,30720
31,512,60,0,0,0.165024,0.142144,0.01024,0.016384,0.165024,1.6,1.6,30720
32,512,60,0,0,0.168288,0.16208,0.01024,0.016384,0.168288,1.6,1.6,30720
33,512,60,0,0,0.146752,0.179808,0.01024,0.016384,0.179808,1.6,1.6,30720
34,512,60,0,0,0.14848,0.179008,0.009216,0.016384,0.179008,1.6,1.6,30720
35,512,60,0,0,0.15248,0.131744,0.009216,0.017408,0.15248,1.6,1.6,30720
36,512,60,0,0,0.139264,0.176544,0.011264,0.017408,0.176544,1.6,1.6,30720
37,512,60,0,0,0.1952,0.164064,0.009216,0.016384,0.1952,1.6,1.6,30720
38,512,60,0,0,0.160256,0.150336,0.009216,0.016384,0.160256,1.6,1.6,30720
39,512,60,0,0,0.18352,0.217184,0.009216,0.017408,0.217184,1.6,1.6,30720
