frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,256,150,1,1,1.71078,0.066368,0.074752,0.016384,1.71078,18,18,345600
1,256,150,1,1,0.1072,0.114496,0.0256,0.01536,0.114496,18,18,345600
2,256,150,1,1,0.107264,0.114496,0.024576,0.01536,0.114496,18,18,345600
3,256,150,1,1,0.116544,0.122624,0.024576,0.01536,0.122624,18,18,345600
4,256,150,1,1,0.113408,0.125504,0.026624,0.01536,0.125504,18,18,345600
5,256,150,1,1,0.16352,0.099072,0.0256,0.01536,0.16352,18,18,345600
6,256,150,1,1,0.133056,0.148736,0.0256,0.014336,0.148736,18,18,345600
7,256,150,1,1,0.119456,0.135968,0.024576,0.014336,0.135968,18,18,345600
8,256,150,1,1,0.125184,0.135872,0.024576,0.016384,0.135872,18,18,345600
9,256,150,1,1,0.113952,0.124416,0.0256,0.01536,0.124416,18,18,345600
10,256,150,1,1,0.11232,0.121056,0.024576,0.01536,0.121056,18,18,345600
11,256,150,1,1,0.153056,0.167648,0.024576,0.01536,0.167648,18,18,345600
12,256,150,1,1,0.116896,0.123648,0.027648,0.01536,0.123648,18,18,345600
13,256,150,1,1,0.107552,0.099968,0.0256,0.014336,0.107552,18,18,345600
14,256,150,1,1,0.124768,0.130528,0.0256,0.014336,0.130528,18,18,345600
15,256,150,1,1,0.296256,0.287648,0.024576,0.01536,0.296256,23.4432,18,345600
16,256,150,1,1,0.276,0.258912,0.0256,0.01536,0.276,23.4432,18,345600
17,256,150,1,1,0.328576,0.334112,0.0256,0.01536,0.334112,26.8146,18,345600
18,256,150,1,1,0.190432,0.206112,0.023552,0.01536,0.206112,26.8146,18,345600
19,256,150,1,1,0.12064,0.136288,0.0256,0.01536,0.136288,25.108,18,345600
20,256,150,1,1,0.106112,0.113792,0.0256,0.016384,0.113792,25.108,18,345600
21,256,150,1,1,0.106656,0.112576,0.0256,0.01536,0.112576,22.1552,18,345600
22,256,150,1,1,0.111296,0.12032,0.0256,0.016384,0.12032,22.1552,18,345600
23,256,150,1,1,0.119552,0.1088,0.0256,0.01536,0.119552,21.5812,18,345600
24,256,150,1,1,0.103488,0.114336,0.0256,0.01536,0.114336,21.5812,18,345600
25,256,150,1,1,0.120352,0.136,0.0256,0.014336,0.136,21.1129,18,345600
26,256,150,1,1,0.086016,0.100352,0.024576,0.01536,0.100352,21.1129,18,345600
27,256,150,1,1,0.112736,0.120768,0.024576,0.014336,0.120768,20.8291,18,345600
28,256,150,1,1,0.127904,0.134944,0.024576,0.01536,0.134944,20.8291,18,345600
29,256,150,1,1,0.142496,0.179712,0.037888,0.018432,0.179712,20.5974,18,345600
30,256,150,1,1,0.131296,0.175232,0.036864,0.016384,0.175232,20.5974,18,345600
31,256,150,1,1,0.138016,0.17584,0.03584,0.016384,0.17584,20.5974,18,345600
32,256,150,1,1,0.166368,0.164416,0.036864,0.017408,0.166368,20.5974,18,345600
33,256,150,1,1,0.133312,0.165216,0.036864,0.016384,0.165216,20.5974,18,345600
34,256,150,1,1,0.147104,0.183648,0.036864,0.016384,0.183648,20.5974,18,345600
35,256,150,1,1,0.151744,0.181952,0.03584,0.016384,0.181952,20.5974,18,345600
36,256,150,1,1,0.144576,0.178912,0.03584,0.017408,0.178912,20.5974,18,345600
37,256,150,1,1,0.166464,0.212928,0.036864,0.016384,0.212928,20.5974,18,345600
38,256,150,1,1,0.157856,0.203744,0.036864,0.017408,0.203744,20.5974,18,345600
39,256,150,1,1,0.156192,0.20256,0.036864,0.017408,0.20256,20.5974,18,345600
40,256,150,1,1,0.159264,0.204576,0.036864,0.017408,0.204576,20.5974,18,345600
41,256,150,1,1,0.152576,0.162208,0.037888,0.017408,0.162208,20.5974,18,345600
42,256,150,1,1,0.144448,0.176448,0.036864,0.017408,0.176448,20.5974,18,345600
43,256,150,1,1,0.153216,0.198144,0.03584,0.017408,0.198144,20.5974,18,345600
44,256,150,1,1,0.184864,0.133696,0.034816,0.017408,0.184864,20.5974,18,345600
45,256,150,1,1,0.154528,0.191616,0.036864,0.017408,0.191616,20.5974,18,345600
46,256,150,1,1,0.133888,0.167616,0.036864,0.017408,0.167616,20.5974,18,345600
47,256,150,1,1,0.135584,0.175488,0.03584,0.016384,0.175488,20.5974,18,345600
48,256,150,1,1,0.170944,0.165792,0.034816,0.017408,0.170944,20.5974,18,345600
49,256,150,1,1,0.171136,0.217536,0.037888,0.017408,0.217536,20.5974,18,345600
50,256,150,1,1,0.168576,0.208352,0.036864,0.016384,0.208352,20.5974,18,345600
51,256,150,1,1,0.174368,0.15856,0.037888,0.017408,0.174368,20.5974,18,345600
52,256,150,1,1,0.141536,0.180192,0.036864,0.017408,0.180192,20.5974,18,345600
53,256,150,1,1,0.135136,0.177792,0.037888,0.016384,0.177792,20.5974,18,345600
54,256,150,1,1,0.089184,0.102848,0.034816,0.017408,0.102848,20.5974,18,345600
55,256,150,1,1,0.08064,0.116704,0.036864,0.016384,0.116704,20.5974,18,345600
56,256,150,1,1,0.076096,0.119296,0.03584,0.063488,0.119296,20.5974,18,345600
57,256,150,1,1,0.124256,0.168288,0.03584,0.017408,0.168288,20.5974,18,345600
58,256,150,1,1,0.072192,0.109728,0.036896,0.017408,0.109728,20.5974,18,345600
59,256,150,1,1,0.110592,0.15472,0.03584,0.017408,0.15472,20.5974,18,345600
60,256,150,1,1,0.08624,0.115584,0.03584,0.016384,0.115584,20.5974,18,345600
61,256,150,1,1,0.10432,0.150624,0.036864,0.016384,0.150624,20.5974,18,345600
62,256,150,1,1,0.14432,0.189696,0.03584,0.016384,0.189696,20.5974,18,345600
63,256,150,1,1,0.118176,0.16448,0.03584,0.017408,0.16448,20.5974,18,345600
64,256,150,1,1,0.084192,0.117248,0.03584,0.016384,0.117248,20.5974,18,345600
65,256,150,1,1,0.120256,0.160992,0.037888,0.016384,0.160992,20.5974,18,345600
66,256,150,1,1,0.119776,0.166208,0.036864,0.017408,0.166208,20.5974,18,345600
67,256,150,1,1,0.094048,0.139488,0.03584,0.017408,0.139488,20.5974,18,345600
68,256,150,1,1,0.148384,0.193728,0.034816,0.016384,0.193728,20.5974,18,345600
69,256,150,1,1,0.08224,0.12432,0.036864,0.016384,0.12432,20.5974,18,345600
70,256,150,1,1,0.07664,0.113248,0.03584,0.016384,0.113248,20.5974,18,345600
71,256,150,1,1,0.109984,0.155328,0.036864,0.017408,0.155328,20.5974,18,345600
72,256,150,1,1,0.073472,0.11232,0.03584,0.016384,0.11232,20.5974,18,345600
73,256,150,1,1,0.101664,0.147136,0.036864,0.016384,0.147136,20.5974,18,345600
74,256,150,1,1,0.073472,0.107552,0.037888,0.016384,0.107552,20.5974,18,345600
75,256,150,1,1,0.089504,0.103872,0.03584,0.016384,0.103872,20.5974,18,345600
76,256,150,1,1,0.106048,0.152448,0.036864,0.016384,0.152448,20.5974,18,345600
77,256,150,1,1,0.08256,0.120544,0.036864,0.016384,0.120544,20.5974,18,345600
78,256,150,1,1,0.106944,0.153344,0.036864,0.016384,0.153344,20.5974,18,345600
79,256,150,1,1,0.095936,0.136512,0.036864,0.017408,0.136512,20.5974,18,345600
80,256,150,1,1,0.099296,0.143744,0.036864,0.017408,0.143744,20.5974,18,345600
81,256,150,1,1,0.093088,0.12704,0.03584,0.017408,0.12704,20.5974,18,345600
82,256,150,1,1,0.137024,0.182176,0.03584,0.017408,0.182176,20.5974,18,345600
83,256,150,1,1,0.10352,0.146432,0.03584,0.017408,0.146432,20.5974,18,345600
84,256,150,1,1,0.083776,0.121856,0.036864,0.017408,0.121856,20.5974,18,345600
85,256,150,1,1,0.101088,0.144064,0.036864,0.016384,0.144064,20.5974,18,345600
86,256,150,1,1,0.09456,0.134112,0.03584,0.017408,0.134112,20.5974,18,345600
87,256,150,1,1,0.106816,0.148448,0.034816,0.017408,0.148448,20.5974,18,345600
88,256,150,1,1,0.088128,0.133536,0.034816,0.016384,0.133536,20.5974,18,345600
89,256,150,1,1,0.111712,0.157088,0.03584,0.017408,0.157088,20.5974,18,345600
90,256,150,1,1,0.084352,0.120736,0.034816,0.017408,0.120736,20.5974,18,345600
91,256,150,1,1,0.105024,0.150304,0.03584,0.016384,0.150304,20.5974,18,345600
92,256,150,1,1,0.10656,0.152896,0.037888,0.016384,0.152896,20.5974,18,345600
93,256,150,1,1,0.080032,0.116416,0.03584,0.016384,0.116416,20.5974,18,345600
94,256,150,1,1,0.099136,0.14656,0.036864,0.017408,0.14656,20.5974,18,345600
95,256,150,1,1,0.089216,0.134656,0.036864,0.016384,0.134656,20.5974,18,345600
96,256,150,1,1,0.105984,0.151936,0.03584,0.016384,0.151936,20.5974,18,345600
97,256,150,1,1,0.09904,0.144672,0.036864,0.017408,0.144672,20.5974,18,345600
98,256,150,1,1,0.10656,0.149408,0.03584,0.017408,0.149408,20.5974,18,345600
99,256,150,1,1,0.070272,0.110912,0.03584,0.017408,0.110912,20.5974,18,345600
100,256,150,1,1,0.121184,0.159328,0.03584,0.017408,0.159328,20.5974,18,345600
101,256,150,1,1,0.110496,0.15536,0.036864,0.016384,0.15536,20.5974,18,345600
102,256,150,1,1,0.075488,0.113536,0.03584,0.017408,0.113536,20.5974,18,345600
